Case_ID,Arrival_Time,Completion_Time,Duration_Minutes,Complexity,Team,Assigned_Staff,SLA_Limit_Minutes,SLA_Breached
CASE-11707,2025-11-21 08:05:00.806640,2025-11-21 09:40:23.292907,95.37,Medium,Audit_Section,Staff_12,180,0
CASE-10110,2025-11-21 08:06:13.497765,2025-11-21 09:59:01.741719,112.8,Medium,Intake_Team,Staff_2,180,0
CASE-11602,2025-11-21 09:00:26.949207,2025-11-21 10:00:10.620005,59.73,Medium,Approval_Board,Staff_24,180,0
CASE-10102,2025-11-21 09:35:53.721654,2025-11-21 10:15:41.271059,39.79,Simple,Review_Team,Staff_15,60,0
CASE-10087,2025-11-21 09:37:27.619901,2025-11-21 10:16:39.620849,39.2,Simple,Review_Team,Staff_1,60,0
CASE-10253,2025-11-21 09:38:58.349986,2025-11-21 10:07:19.083128,28.35,Simple,Approval_Board,Staff_5,60,0
CASE-11179,2025-11-21 10:52:33.906644,2025-11-21 11:47:55.550868,55.36,Medium,Intake_Team,Staff_15,180,0
CASE-11610,2025-11-21 10:57:37.234865,2025-11-21 11:25:58.598663,28.36,Simple,Intake_Team,Staff_12,60,0
CASE-11785,2025-11-21 11:20:03.493187,2025-11-21 12:09:18.924705,49.26,Simple,Review_Team,Staff_22,60,0
CASE-10891,2025-11-21 11:21:56.249958,2025-11-21 20:48:04.811183,566.14,Critical,Intake_Team,Staff_2,1440,0
CASE-10100,2025-11-21 11:37:07.332801,2025-11-21 16:55:02.565870,317.92,Complex,Approval_Board,Staff_2,480,0
CASE-10937,2025-11-21 11:56:38.106222,2025-11-21 16:34:55.949476,278.3,Complex,Audit_Section,Staff_15,480,0
CASE-10155,2025-11-21 12:18:18.795569,2025-11-21 13:17:00.298173,58.69,Medium,Audit_Section,Staff_8,180,0
CASE-11758,2025-11-21 12:39:54.840031,2025-11-21 13:11:59.138370,32.07,Simple,Audit_Section,Staff_2,60,0
CASE-10654,2025-11-21 12:47:23.397110,2025-11-21 14:48:57.851960,121.57,Medium,Intake_Team,Staff_25,180,0
CASE-11184,2025-11-21 12:53:40.580842,2025-11-21 21:21:46.518480,508.1,Critical,Review_Team,Staff_25,1440,0
CASE-10742,2025-11-21 13:02:52.726940,2025-11-21 13:48:25.613538,45.55,Simple,Intake_Team,Staff_3,60,0
CASE-10799,2025-11-21 13:08:22.948900,2025-11-21 14:44:59.022541,96.6,Medium,Intake_Team,Staff_16,180,0
CASE-11779,2025-11-21 13:17:15.474885,2025-11-21 13:43:04.584042,25.82,Simple,Intake_Team,Staff_3,60,0
CASE-11396,2025-11-21 13:56:22.471676,2025-11-21 20:51:50.685081,415.47,Critical,Audit_Section,Staff_16,1440,0
CASE-10402,2025-11-21 14:39:32.630230,2025-11-21 18:10:35.959672,211.06,Complex,Audit_Section,Staff_18,480,0
CASE-10206,2025-11-21 14:54:10.545384,2025-11-21 15:39:02.790266,44.87,Simple,Audit_Section,Staff_18,60,0
CASE-11456,2025-11-21 15:05:31.585009,2025-11-21 15:19:31.546376,14.0,Simple,Approval_Board,Staff_21,60,0
CASE-10107,2025-11-21 15:14:58.007220,2025-11-21 18:09:03.037422,174.08,Complex,Approval_Board,Staff_4,480,0
CASE-10840,2025-11-21 15:15:58.883916,2025-11-21 15:30:00.849298,14.03,Simple,Approval_Board,Staff_5,60,0
CASE-11900,2025-11-21 15:33:10.596497,2025-11-21 17:41:06.770377,127.94,Medium,Review_Team,Staff_7,180,0
CASE-10865,2025-11-21 15:37:41.736328,2025-11-21 20:24:19.731659,286.63,Complex,Intake_Team,Staff_17,480,0
CASE-11458,2025-11-21 15:48:57.062932,2025-11-22 01:40:36.942242,591.66,Critical,Review_Team,Staff_2,1440,0
CASE-11556,2025-11-21 16:08:27.071111,2025-11-21 17:22:51.301975,74.4,Medium,Intake_Team,Staff_14,180,0
CASE-10910,2025-11-21 17:07:39.384094,2025-11-22 03:29:01.010375,621.36,Critical,Audit_Section,Staff_19,1440,0
CASE-11471,2025-11-21 18:25:48.523680,2025-11-22 01:41:19.796516,435.52,Critical,Audit_Section,Staff_5,1440,0
CASE-10211,2025-11-21 19:08:40.588555,2025-11-21 23:33:43.571238,265.05,Complex,Audit_Section,Staff_10,480,0
CASE-10724,2025-11-21 20:32:20.668172,2025-11-21 22:13:24.977717,101.07,Medium,Review_Team,Staff_13,180,0
CASE-10721,2025-11-21 21:25:41.636661,2025-11-22 01:04:44.442853,219.05,Complex,Audit_Section,Staff_3,480,0
CASE-11018,2025-11-21 21:35:43.505297,2025-11-21 22:04:42.045002,28.98,Simple,Intake_Team,Staff_5,60,0
CASE-11937,2025-11-21 22:01:52.665436,2025-11-22 01:15:24.260858,193.53,Complex,Review_Team,Staff_16,480,0
CASE-10112,2025-11-21 22:05:27.905784,2025-11-21 22:51:18.851065,45.85,Simple,Review_Team,Staff_6,60,0
CASE-11760,2025-11-21 22:16:10.958956,2025-11-21 22:33:07.817923,16.95,Simple,Approval_Board,Staff_18,60,0
CASE-11364,2025-11-21 22:26:18.846373,2025-11-22 00:29:13.656473,122.91,Medium,Intake_Team,Staff_21,180,0
CASE-11914,2025-11-21 23:06:21.612851,2025-11-22 01:19:46.148231,133.41,Complex,Intake_Team,Staff_3,480,0
CASE-10838,2025-11-21 23:11:47.743279,2025-11-22 06:11:54.837259,420.12,Critical,Audit_Section,Staff_17,1440,0
CASE-10438,2025-11-21 23:47:43.114192,2025-11-22 03:39:29.989983,231.78,Complex,Audit_Section,Staff_14,480,0
CASE-11310,2025-11-21 23:50:04.662146,2025-11-22 00:20:53.955596,30.82,Simple,Review_Team,Staff_5,60,0
CASE-10567,2025-11-22 00:15:38.355464,2025-11-22 10:14:00.448327,598.37,Critical,Approval_Board,Staff_2,1440,0
CASE-10659,2025-11-22 00:17:38.009277,2025-11-22 08:47:35.575490,509.96,Critical,Audit_Section,Staff_3,1440,0
CASE-11266,2025-11-22 00:24:57.379911,2025-11-22 02:04:31.910444,99.58,Medium,Audit_Section,Staff_12,180,0
CASE-11905,2025-11-22 00:27:17.356439,2025-11-22 01:15:39.606335,48.37,Medium,Audit_Section,Staff_15,180,0
CASE-11127,2025-11-22 00:47:26.092899,2025-11-22 01:02:58.218852,15.54,Simple,Approval_Board,Staff_8,60,0
CASE-10487,2025-11-22 00:53:39.041358,2025-11-22 01:15:50.017167,22.18,Simple,Review_Team,Staff_4,60,0
CASE-11638,2025-11-22 01:10:36.623479,2025-11-22 05:12:43.724335,242.12,Complex,Audit_Section,Staff_22,480,0
CASE-11983,2025-11-22 01:55:01.356878,2025-11-22 03:30:35.772467,95.57,Medium,Approval_Board,Staff_15,180,0
CASE-10067,2025-11-22 02:44:49.669460,2025-11-22 04:35:04.416085,110.25,Medium,Intake_Team,Staff_11,180,0
CASE-10571,2025-11-22 02:50:34.195314,2025-11-22 04:30:32.133097,99.97,Medium,Review_Team,Staff_9,180,0
CASE-11614,2025-11-22 03:03:50.165824,2025-11-22 10:33:15.644888,449.42,Critical,Intake_Team,Staff_1,1440,0
CASE-11694,2025-11-22 03:17:01.646175,2025-11-22 06:55:49.020948,218.79,Complex,Approval_Board,Staff_14,480,0
CASE-11403,2025-11-22 03:26:32.867742,2025-11-22 05:10:50.689193,104.3,Medium,Review_Team,Staff_6,180,0
CASE-11255,2025-11-22 04:50:54.684335,2025-11-22 08:29:28.565237,218.56,Complex,Approval_Board,Staff_1,480,0
CASE-10260,2025-11-22 04:58:41.758490,2025-11-22 06:20:44.980623,82.05,Medium,Audit_Section,Staff_8,180,0
CASE-10269,2025-11-22 05:10:15.117921,2025-11-22 06:11:08.760031,60.89,Medium,Approval_Board,Staff_10,180,0
CASE-11463,2025-11-22 05:12:20.425286,2025-11-22 12:36:59.963029,444.66,Critical,Intake_Team,Staff_22,1440,0
CASE-11797,2025-11-22 05:19:37.217428,2025-11-22 07:04:13.638955,104.61,Medium,Audit_Section,Staff_25,180,0
CASE-11532,2025-11-22 05:33:02.271947,2025-11-22 08:13:17.844636,160.26,Complex,Intake_Team,Staff_22,480,0
CASE-10478,2025-11-22 05:43:55.671983,2025-11-22 07:30:54.805249,106.99,Medium,Audit_Section,Staff_24,180,0
CASE-10588,2025-11-22 05:56:01.337200,2025-11-22 06:48:30.659427,52.49,Medium,Review_Team,Staff_11,180,0
CASE-11373,2025-11-22 06:39:40.341834,2025-11-22 07:27:17.255721,47.62,Simple,Audit_Section,Staff_18,60,0
CASE-11141,2025-11-22 07:10:38.839052,2025-11-22 08:39:31.187108,88.87,Medium,Approval_Board,Staff_5,180,0
CASE-10108,2025-11-22 07:14:34.121630,2025-11-22 10:02:33.727791,167.99,Complex,Review_Team,Staff_21,480,0
CASE-10230,2025-11-22 07:20:14.935556,2025-11-22 07:52:02.981666,31.8,Simple,Intake_Team,Staff_8,60,0
CASE-10553,2025-11-22 08:38:21.972465,2025-11-22 16:14:55.231546,456.55,Critical,Audit_Section,Staff_14,1440,0
CASE-10137,2025-11-22 09:25:28.090046,2025-11-22 10:12:24.498170,46.94,Simple,Intake_Team,Staff_20,60,0
CASE-10753,2025-11-22 09:37:59.792166,2025-11-22 15:06:08.194661,328.14,Critical,Review_Team,Staff_9,1440,0
CASE-10528,2025-11-22 09:55:19.118701,2025-11-22 10:11:41.540506,16.37,Simple,Approval_Board,Staff_18,60,0
CASE-11713,2025-11-22 10:58:45.412123,2025-11-22 11:38:48.192309,40.05,Simple,Approval_Board,Staff_23,60,0
CASE-10901,2025-11-22 11:07:03.869546,2025-11-22 12:15:27.558805,68.39,Medium,Review_Team,Staff_22,180,0
CASE-10464,2025-11-22 11:09:24.278127,2025-11-22 20:00:25.309327,531.02,Critical,Audit_Section,Staff_4,1440,0
CASE-10051,2025-11-22 12:09:27.660063,2025-11-22 12:46:37.530416,37.16,Simple,Approval_Board,Staff_13,60,0
CASE-10062,2025-11-22 12:17:33.417218,2025-11-22 17:20:20.577324,302.79,Complex,Audit_Section,Staff_15,480,0
CASE-10951,2025-11-22 12:30:58.773689,2025-11-22 16:38:23.042350,247.4,Complex,Approval_Board,Staff_1,480,0
CASE-10011,2025-11-22 12:34:43.371093,2025-11-22 12:59:58.263685,25.25,Simple,Audit_Section,Staff_20,60,0
CASE-10214,2025-11-22 12:52:04.004036,2025-11-22 13:12:24.382000,20.34,Simple,Review_Team,Staff_24,60,0
CASE-11062,2025-11-22 13:09:53.335884,2025-11-22 14:20:56.836578,71.06,Medium,Audit_Section,Staff_9,180,0
CASE-11489,2025-11-22 13:10:15.351100,2025-11-22 13:30:01.050901,19.76,Simple,Approval_Board,Staff_25,60,0
CASE-11807,2025-11-22 13:32:35.735550,2025-11-22 14:09:28.175883,36.87,Simple,Intake_Team,Staff_3,60,0
CASE-10731,2025-11-22 13:59:54.554863,2025-11-22 14:29:43.674864,29.82,Simple,Approval_Board,Staff_2,60,0
CASE-11022,2025-11-22 14:00:45.904852,2025-11-22 17:10:44.648087,189.98,Complex,Review_Team,Staff_8,480,0
CASE-10141,2025-11-22 14:08:28.726118,2025-11-22 15:01:11.228827,52.71,Simple,Audit_Section,Staff_18,60,0
CASE-10436,2025-11-22 14:09:40.456151,2025-11-22 14:27:15.674463,17.59,Simple,Intake_Team,Staff_7,60,0
CASE-11776,2025-11-22 14:24:38.344206,2025-11-22 15:15:06.493698,50.47,Medium,Review_Team,Staff_23,180,0
CASE-10072,2025-11-22 14:28:05.594301,2025-11-22 15:30:53.022869,62.79,Medium,Approval_Board,Staff_7,180,0
CASE-11974,2025-11-22 14:41:38.626441,2025-11-22 16:02:09.833356,80.52,Medium,Audit_Section,Staff_21,180,0
CASE-10114,2025-11-22 15:14:30.310923,2025-11-22 17:13:30.555596,119.0,Medium,Intake_Team,Staff_4,180,0
CASE-11599,2025-11-22 15:27:17.615806,2025-11-23 01:25:08.911269,597.85,Critical,Approval_Board,Staff_15,1440,0
CASE-11472,2025-11-22 15:28:50.307619,2025-11-22 19:08:04.124041,219.23,Complex,Approval_Board,Staff_16,480,0
CASE-11589,2025-11-22 15:36:18.207423,2025-11-22 17:24:37.607591,108.32,Medium,Review_Team,Staff_18,180,0
CASE-11565,2025-11-22 15:50:44.151476,2025-11-22 16:11:38.216212,20.9,Simple,Review_Team,Staff_12,60,0
CASE-10122,2025-11-22 15:59:08.724624,2025-11-22 22:18:59.399439,379.84,Critical,Review_Team,Staff_8,1440,0
CASE-10361,2025-11-22 16:06:56.493831,2025-11-22 16:53:28.419492,46.53,Simple,Intake_Team,Staff_23,60,0
CASE-11895,2025-11-22 16:10:32.790742,2025-11-22 21:25:54.491127,315.36,Complex,Approval_Board,Staff_10,480,0
CASE-10012,2025-11-22 16:14:54.063408,2025-11-22 19:51:32.429919,216.64,Complex,Approval_Board,Staff_18,480,0
CASE-10871,2025-11-22 16:26:16.390870,2025-11-22 22:54:02.158149,387.76,Critical,Approval_Board,Staff_18,1440,0
CASE-11066,2025-11-22 16:32:00.933760,2025-11-22 17:00:51.770564,28.85,Simple,Approval_Board,Staff_18,60,0
CASE-11864,2025-11-22 17:02:40.133862,2025-11-22 17:33:37.421983,30.95,Simple,Review_Team,Staff_22,60,0
CASE-11096,2025-11-22 17:40:41.821952,2025-11-22 18:21:54.846956,41.22,Simple,Approval_Board,Staff_15,60,0
CASE-10384,2025-11-22 17:42:07.604759,2025-11-22 19:49:47.810223,127.67,Complex,Review_Team,Staff_21,480,0
CASE-11181,2025-11-22 17:51:57.959283,2025-11-22 18:35:31.700346,43.56,Medium,Review_Team,Staff_23,180,0
CASE-11990,2025-11-22 19:17:39.925193,2025-11-22 19:49:42.493822,32.04,Simple,Intake_Team,Staff_22,60,0
CASE-11763,2025-11-22 19:21:55.863089,2025-11-22 21:11:21.330602,109.42,Medium,Approval_Board,Staff_1,180,0
CASE-10235,2025-11-22 19:24:39.222684,2025-11-23 06:04:26.082443,639.78,Critical,Approval_Board,Staff_1,1440,0
CASE-10783,2025-11-22 19:35:13.614829,2025-11-23 01:31:46.099346,356.54,Critical,Review_Team,Staff_12,1440,0
CASE-11049,2025-11-22 19:41:27.268095,2025-11-22 20:55:54.688451,74.46,Medium,Approval_Board,Staff_14,180,0
CASE-10459,2025-11-22 19:52:06.614523,2025-11-22 21:16:15.953974,84.16,Medium,Intake_Team,Staff_16,180,0
CASE-10435,2025-11-22 19:59:10.665853,2025-11-23 00:35:12.943581,276.04,Complex,Intake_Team,Staff_14,480,0
CASE-10627,2025-11-22 20:15:07.504187,2025-11-23 00:44:53.352415,269.76,Complex,Audit_Section,Staff_4,480,0
CASE-11421,2025-11-22 20:17:53.584737,2025-11-22 23:57:12.831693,219.32,Complex,Approval_Board,Staff_19,480,0
CASE-10921,2025-11-22 20:38:39.220832,2025-11-22 21:03:43.425989,25.07,Simple,Intake_Team,Staff_13,60,0
CASE-10723,2025-11-22 20:55:27.119693,2025-11-23 01:50:43.218267,295.27,Complex,Review_Team,Staff_9,480,0
CASE-10841,2025-11-22 21:40:28.409763,2025-11-22 22:46:07.778108,65.66,Medium,Intake_Team,Staff_25,180,0
CASE-11504,2025-11-22 21:47:49.586303,2025-11-22 23:10:26.072285,82.61,Medium,Intake_Team,Staff_7,180,0
CASE-11759,2025-11-22 21:55:57.065620,2025-11-22 22:40:03.762036,44.11,Simple,Intake_Team,Staff_17,60,0
CASE-10565,2025-11-22 22:27:16.521858,2025-11-23 00:51:37.658192,144.35,Medium,Review_Team,Staff_9,180,0
CASE-10601,2025-11-22 22:28:15.512799,2025-11-23 00:30:07.082260,121.86,Complex,Intake_Team,Staff_16,480,0
CASE-10143,2025-11-22 23:50:07.389102,2025-11-23 00:14:16.953793,24.16,Simple,Review_Team,Staff_1,60,0
CASE-11741,2025-11-22 23:53:13.597317,2025-11-23 02:02:57.779394,129.74,Medium,Intake_Team,Staff_3,180,0
CASE-10175,2025-11-23 00:28:02.079025,2025-11-23 01:57:30.295423,89.47,Medium,Intake_Team,Staff_5,180,0
CASE-11013,2025-11-23 00:32:20.081220,2025-11-23 00:50:37.358184,18.29,Simple,Review_Team,Staff_24,60,0
CASE-10005,2025-11-23 01:11:57.773071,2025-11-23 01:42:03.480827,30.1,Simple,Review_Team,Staff_20,60,0
CASE-11433,2025-11-23 01:45:43.261514,2025-11-23 02:21:38.654155,35.92,Simple,Intake_Team,Staff_19,60,0
CASE-10483,2025-11-23 01:45:58.389505,2025-11-23 02:55:30.386269,69.53,Medium,Intake_Team,Staff_17,180,0
CASE-10276,2025-11-23 01:46:17.775101,2025-11-23 04:04:11.893205,137.9,Medium,Intake_Team,Staff_14,180,0
CASE-10685,2025-11-23 02:07:57.458770,2025-11-23 02:30:21.678148,22.4,Simple,Intake_Team,Staff_19,60,0
CASE-11121,2025-11-23 02:10:59.290971,2025-11-23 02:50:19.074615,39.33,Simple,Audit_Section,Staff_1,60,0
CASE-10647,2025-11-23 02:32:25.463815,2025-11-23 08:22:55.023769,350.49,Critical,Audit_Section,Staff_23,1440,0
CASE-11005,2025-11-23 02:57:33.360202,2025-11-23 05:00:11.413460,122.63,Complex,Review_Team,Staff_5,480,0
CASE-11063,2025-11-23 03:13:34.586408,2025-11-23 05:41:30.387114,147.93,Complex,Intake_Team,Staff_20,480,0
CASE-11298,2025-11-23 03:40:51.442723,2025-11-23 04:44:16.648369,63.42,Medium,Intake_Team,Staff_15,180,0
CASE-10507,2025-11-23 04:15:36.114864,2025-11-23 07:10:31.655711,174.93,Complex,Approval_Board,Staff_13,480,0
CASE-11576,2025-11-23 05:00:34.337674,2025-11-23 12:09:34.413239,429.0,Critical,Approval_Board,Staff_4,1440,0
CASE-11123,2025-11-23 05:19:26.500823,2025-11-23 06:17:51.647463,58.42,Medium,Audit_Section,Staff_24,180,0
CASE-11370,2025-11-23 05:22:49.570847,2025-11-23 06:43:28.071478,80.64,Medium,Intake_Team,Staff_8,180,0
CASE-11427,2025-11-23 05:36:12.839127,2025-11-23 07:23:17.234610,107.07,Medium,Intake_Team,Staff_10,180,0
CASE-10972,2025-11-23 05:51:00.033830,2025-11-23 07:39:52.371073,108.87,Medium,Approval_Board,Staff_6,180,0
CASE-11178,2025-11-23 06:12:37.130410,2025-11-23 07:47:05.080707,94.47,Medium,Intake_Team,Staff_17,180,0
CASE-11338,2025-11-23 06:14:40.040137,2025-11-23 06:54:32.935945,39.88,Simple,Review_Team,Staff_10,60,0
CASE-10238,2025-11-23 06:28:31.272999,2025-11-23 15:39:13.560792,550.7,Critical,Intake_Team,Staff_3,1440,0
CASE-11397,2025-11-23 07:09:17.558239,2025-11-23 18:58:14.039941,708.94,Critical,Approval_Board,Staff_2,1440,0
CASE-11357,2025-11-23 07:27:03.962960,2025-11-23 08:15:31.507695,48.46,Medium,Approval_Board,Staff_20,180,0
CASE-10792,2025-11-23 08:04:22.991713,2025-11-23 11:34:38.799862,210.26,Complex,Review_Team,Staff_5,480,0
CASE-10954,2025-11-23 08:26:43.685743,2025-11-23 10:37:41.233688,130.96,Complex,Intake_Team,Staff_2,480,0
CASE-11748,2025-11-23 08:43:58.845549,2025-11-23 10:02:16.602422,78.3,Medium,Review_Team,Staff_17,180,0
CASE-11921,2025-11-23 09:29:03.681857,2025-11-23 09:56:39.540641,27.6,Simple,Audit_Section,Staff_24,60,0
CASE-11232,2025-11-23 09:55:08.887725,2025-11-23 10:24:24.977004,29.27,Simple,Approval_Board,Staff_21,60,0
CASE-11503,2025-11-23 11:14:15.410707,2025-11-23 11:45:39.598216,31.4,Simple,Approval_Board,Staff_6,60,0
CASE-11274,2025-11-23 11:16:12.924050,2025-11-23 14:00:02.958945,163.83,Complex,Intake_Team,Staff_3,480,0
CASE-11183,2025-11-23 12:03:36.289868,2025-11-23 12:48:42.531474,45.1,Simple,Review_Team,Staff_3,60,0
CASE-10116,2025-11-23 12:15:29.241587,2025-11-23 15:35:11.130368,199.7,Complex,Audit_Section,Staff_1,480,0
CASE-11428,2025-11-23 12:36:17.577825,2025-11-23 13:46:04.471200,69.78,Medium,Approval_Board,Staff_19,180,0
CASE-11521,2025-11-23 13:46:05.778384,2025-11-23 14:11:24.697480,25.32,Simple,Intake_Team,Staff_1,60,0
CASE-11925,2025-11-23 14:16:38.835099,2025-11-23 14:44:52.864742,28.23,Simple,Intake_Team,Staff_19,60,0
CASE-11029,2025-11-23 14:33:38.799056,2025-11-23 15:09:48.985796,36.17,Simple,Approval_Board,Staff_25,60,0
CASE-11197,2025-11-23 15:04:11.789666,2025-11-23 15:27:58.271986,23.77,Simple,Audit_Section,Staff_16,60,0
CASE-11023,2025-11-23 15:05:06.155922,2025-11-23 16:57:02.380493,111.94,Medium,Review_Team,Staff_18,180,0
CASE-10060,2025-11-23 15:18:31.542250,2025-11-23 22:28:16.708197,429.75,Critical,Approval_Board,Staff_22,1440,0
CASE-10510,2025-11-23 15:23:24.929679,2025-11-23 17:21:34.049838,118.15,Medium,Audit_Section,Staff_18,180,0
CASE-11283,2025-11-23 15:27:59.182381,2025-11-23 15:43:21.803002,15.38,Simple,Intake_Team,Staff_15,60,0
CASE-10949,2025-11-23 15:52:56.664513,2025-11-23 18:18:33.948170,145.62,Medium,Intake_Team,Staff_11,180,0
CASE-10210,2025-11-23 15:55:17.339922,2025-11-23 23:24:54.026588,449.61,Critical,Audit_Section,Staff_12,1440,0
CASE-10264,2025-11-23 15:58:02.604583,2025-11-23 16:32:47.882844,34.75,Simple,Intake_Team,Staff_10,60,0
CASE-11809,2025-11-23 16:14:41.714606,2025-11-23 16:36:17.515389,21.6,Simple,Audit_Section,Staff_11,60,0
CASE-11189,2025-11-23 17:44:07.969419,2025-11-23 22:47:32.666071,303.41,Complex,Approval_Board,Staff_16,480,0
CASE-11366,2025-11-23 17:44:19.317208,2025-11-23 22:32:33.878752,288.24,Critical,Approval_Board,Staff_13,1440,0
CASE-10692,2025-11-23 17:54:51.163140,2025-11-23 20:09:42.204562,134.85,Medium,Approval_Board,Staff_12,180,0
CASE-10895,2025-11-23 17:56:43.027222,2025-11-23 18:26:38.141291,29.92,Simple,Approval_Board,Staff_14,60,0
CASE-10560,2025-11-23 18:14:49.442621,2025-11-23 18:59:27.657001,44.64,Medium,Review_Team,Staff_5,180,0
CASE-11768,2025-11-23 18:56:59.131994,2025-11-24 02:09:51.439143,432.87,Critical,Approval_Board,Staff_23,1440,0
CASE-10946,2025-11-23 19:14:35.360565,2025-11-24 06:29:19.478046,674.74,Critical,Audit_Section,Staff_6,1440,0
CASE-11515,2025-11-23 19:25:15.919605,2025-11-23 21:46:10.954132,140.92,Complex,Review_Team,Staff_9,480,0
CASE-11819,2025-11-23 19:53:51.168492,2025-11-24 02:53:07.496286,419.27,Critical,Review_Team,Staff_18,1440,0
CASE-11529,2025-11-23 19:59:48.968593,2025-11-24 00:13:09.461725,253.34,Complex,Approval_Board,Staff_22,480,0
CASE-10353,2025-11-23 20:21:53.946973,2025-11-24 08:08:12.987908,706.32,Critical,Review_Team,Staff_22,1440,0
CASE-11745,2025-11-23 20:28:24.729393,2025-11-23 23:53:01.744592,204.62,Complex,Intake_Team,Staff_6,480,0
CASE-11097,2025-11-23 20:38:11.727513,2025-11-23 20:56:18.212173,18.11,Simple,Approval_Board,Staff_2,60,0
CASE-11924,2025-11-23 21:13:09.837179,2025-11-23 21:47:00.471422,33.84,Simple,Audit_Section,Staff_14,60,0
CASE-11438,2025-11-23 21:31:58.412098,2025-11-24 08:37:27.788420,665.49,Critical,Audit_Section,Staff_1,1440,0
CASE-11890,2025-11-23 22:25:34.752091,2025-11-23 22:41:33.934387,15.99,Simple,Intake_Team,Staff_15,60,0
CASE-10215,2025-11-23 22:50:59.060125,2025-11-23 23:20:52.208099,29.89,Simple,Approval_Board,Staff_25,60,0
CASE-11816,2025-11-23 22:57:23.176181,2025-11-23 23:34:26.564444,37.06,Simple,Intake_Team,Staff_9,60,0
CASE-11295,2025-11-23 23:00:54.243787,2025-11-23 23:58:02.121369,57.13,Medium,Review_Team,Staff_17,180,0
CASE-11853,2025-11-24 00:21:40.096798,2025-11-24 00:38:36.474713,16.94,Simple,Intake_Team,Staff_21,60,0
CASE-10099,2025-11-24 00:34:50.776668,2025-11-24 01:08:57.867653,34.12,Simple,Audit_Section,Staff_20,60,0
CASE-10634,2025-11-24 00:36:26.369871,2025-11-24 01:47:28.598295,71.04,Medium,Intake_Team,Staff_1,180,0
